player_id,goals,red_cards,player_club_id,competition_id,matches
6053,13,0,825,"ELQ,TR1",64
6058,0,1,"46,416","ELQ,IT1,CIT",6
6065,1,0,"3725,3691","RU1,RUP",47
6073,0,0,653,"GR1,GRP",41
6075,2,0,1387,"CIT,IT1",20
6076,2,0,862,"CIT,IT1",13
6087,1,1,"4750,128","PO1,GR1,GRP",50
6090,0,0,2921,IT1,12
6097,10,0,458,"CIT,IT1",30
6106,2,0,931,"GB1,FAC",44
6107,0,0,3008,"GB1,FAC",6
6118,3,0,114,TR1,10
6119,0,0,"583,430,3368","FR1,CL,IT1,ES1",42
6150,2,3,762,"GB1,ELQ,EL,FAC",115
6157,4,0,"1387,2921","CIT,IT1",18
6160,35,4,"1390,252,800","CIT,IT1",119
6176,0,0,1083,RU1,5
6233,1,0,862,IT1,24
6234,23,2,"130,416","IT1,CIT,EL",98
6237,77,0,15,"DFB,L1,EL,CL,CLQ",209
6251,3,0,"653,441","GR1,GRP",32
6267,0,0,995,FR1,13
6270,0,0,"750,244","FR1,EL,FRCH",90
6274,0,0,855,FR1,4
6278,0,0,1147,FR1,36
6287,2,0,"39,23","DFB,L1",39
6288,84,0,"27,430,114,82,79","CL,L1,DFB,ELQ,IT1,EL,TR1",183
